"","TCGA-GD-A3OP-11A-11R-A220-07","TCGA-BT-A20U-01A-11R-A14Y-07","TCGA-GD-A3OQ-11A-21R-A220-07","TCGA-BL-A13J-01A-11R-A277-07","TCGA-K4-A5RI-11A-11R-A28M-07","TCGA-GC-A6I3-01A-11R-A31N-07","TCGA-BL-A13J-01B-04R-A277-07","TCGA-K4-A54R-01A-11R-A26T-07","TCGA-BT-A20Q-01A-11R-A14Y-07","TCGA-BT-A20N-01A-11R-A14Y-07","TCGA-K4-A3WV-11A-21R-A22U-07","TCGA-BT-A2LA-01A-11R-A18C-07","TCGA-BT-A20R-11A-11R-A16R-07","TCGA-GC-A3BM-01A-11R-A22U-07","TCGA-BT-A2LA-11A-11R-A18C-07","TCGA-BT-A20W-11A-11R-A14Y-07","TCGA-BL-A13J-01A-11R-A10U-07","TCGA-BT-A20W-01A-21R-A14Y-07","TCGA-GD-A3OQ-01A-32R-A220-07","TCGA-BT-A20Q-11A-11R-A14Y-07","TCGA-BT-A20R-01A-12R-A16R-07","TCGA-CU-A0YR-01A-12R-A10U-07","TCGA-BT-A2LB-11A-11R-A18C-07","TCGA-GC-A6I3-11A-11R-A31N-07","TCGA-BT-A20U-11A-11R-A14Y-07","TCGA-K4-A5RI-01A-11R-A28M-07","TCGA-GC-A3WC-01A-31R-A22U-07","TCGA-GD-A2C5-11A-11R-A180-07","TCGA-CU-A0YN-01A-21R-A10U-07","TCGA-GC-A3BM-11A-11R-A22U-07","TCGA-CU-A0YN-11A-11R-A10U-07","TCGA-GD-A3OP-01A-21R-A220-07","TCGA-K4-A54R-11A-11R-A26T-07","TCGA-BT-A2LB-01A-11R-A18C-07","TCGA-GC-A3WC-11A-11R-A22U-07","TCGA-GD-A2C5-01A-12R-A180-07","TCGA-BT-A20N-11A-11R-A14Y-07","TCGA-K4-A3WV-01A-11R-A22U-07","TCGA-CU-A0YR-11A-13R-A10U-07","TCGA-BL-A13J-11A-13R-A10U-07"
"L1HS_intron_1__78245812_78246083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__80939204_80945257",0,0.354129,0,0.00384133,0,0.236157,0,0,0,0.00492891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416018,0,0,0,0,0,0.0045837,0,0,0,0,0,0
"L1HS_intergenic_1__82660286_82661790",0,0,0,0.00287961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381079,0,0,0,0,0,0,0,0.0313586,0,0,0,0,0,0
"L1HS_intergenic_1__84052343_84052360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__84052390_84058406",0,0,0.00775712,0,0,0,0.00214596,0,0.00345534,0.194187,0.100262,0.0160753,0,0.0109498,0.0615641,0.0283298,0,0.0330806,0,0,0.0632791,0,0,0,0.0187115,0,0,0.00270312,0,0,0,0,0,0,0,0.00277319,0,0,0.154021,0
"L1HS_intron_1__85748520_85754548",0,0.00617307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206339,0,0,0,0,0,0,0,1.91745e-10,0,0,0.29644,0,0,0,0,0,0,0,0
"L1HS_intron_1__85927068_85933100",0,0,0,0.00983054,0,0,0,0,0,0.0303674,0.100297,0.00193361,0,0.0761277,0,0,0.0324854,0.0306975,0,0,0.121711,0.00691675,0.00184133,0,0.232398,0,0.000144154,0.00374462,0.000935106,0,0,0,0,0.0154294,0,0.00341591,0,0,0.00391032,0
"L1HS_intergenic_1__86275300_86276007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__86679081_86685111",0,0,0,0.0131452,0,0,0.00663405,0,0.102541,0.00466025,0,0,0,0,0,0,0.00139552,0,0,0,0,0,0,0,0,0,0,0,0,0.264389,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__91387591_91387929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__91448552_91448993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__95942327_95942381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__98254179_98254224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__99213438_99214200",0,0,0,0,0,0,0,0,0,0,0,0.0509149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268875,0,0,0,0,0,0
"L1HS_intergenic_1__99388539_99389521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__99389521_99390892",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__102230800_102231031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__102231032_102231475",0,0,0,0,0,0,0,0,0,0.110956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__103922001_103922098",0,0,0,0,0,0,0.127709,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00961,0,0,0,0,0.948465,0,0.73725,0,0,0,0,0.816912,0,0,0,0,0,0,0
